wl,Al_n,Al_k
7.60,16.295172,68.647345
7.61,16.325828,68.727989
7.62,16.356483,68.808632
7.63,16.387138,68.889276
7.64,16.417793,68.969920
7.65,16.448448,69.050563
7.66,16.479103,69.131207
7.67,16.509759,69.211851
7.68,16.540414,69.292494
7.69,16.571069,69.373138
7.70,16.601724,69.453782
7.71,16.632379,69.534425
7.72,16.663034,69.615069
7.73,16.693690,69.695713
7.74,16.724345,69.776356
7.75,16.791446,69.932152
7.76,16.827893,70.007304
7.77,16.864339,70.082455
7.78,16.900786,70.157607
7.79,16.937232,70.232759
7.80,16.973679,70.307911
7.81,17.010125,70.383062
7.82,17.046571,70.458214
7.83,17.083018,70.533366
7.84,17.119464,70.608518
7.85,17.155911,70.683670
7.86,17.192357,70.758821
7.87,17.228804,70.833973
7.88,17.265250,70.909125
7.89,17.301696,70.984277
7.90,17.338143,71.059429
7.91,17.374589,71.134580
7.92,17.411036,71.209732
7.93,17.447482,71.284884
7.94,17.483929,71.360036
7.95,17.520375,71.435187
7.96,17.556821,71.510339
7.97,17.593268,71.585491
7.98,17.629714,71.660643
7.99,17.666161,71.735795
8.00,17.702607,71.810946
8.01,17.739054,71.886098
8.02,17.775500,71.961250
8.03,17.811946,72.036402
8.04,17.848393,72.111554
8.05,17.884839,72.186705
8.06,17.921286,72.261857
8.07,17.957732,72.337009
8.08,17.994179,72.412161
8.09,18.030625,72.487313
8.10,18.067071,72.562464
8.11,18.103518,72.637616
8.12,18.139964,72.712768
8.13,18.176411,72.787920
8.14,18.212857,72.863071
8.15,18.249304,72.938223
8.16,18.285750,73.013375
8.17,18.322196,73.088527
8.18,18.358643,73.163679
8.19,18.395089,73.238830
8.20,18.431536,73.313982
8.21,18.467982,73.389134
8.22,18.504429,73.464286
8.23,18.540875,73.539438
8.24,18.577321,73.614589
8.25,18.613768,73.689741
8.26,18.650214,73.764893
8.27,18.686661,73.840045
8.28,18.723107,73.915196
8.29,18.759554,73.990348
8.30,18.796000,74.065500
8.31,18.832446,74.140652
8.32,18.868893,74.215804
8.33,18.905339,74.290955
8.34,18.941786,74.366107
8.35,18.978232,74.441259
8.36,19.014679,74.516411
8.37,19.051125,74.591562
8.38,19.087571,74.666714
8.39,19.124018,74.741866
8.40,19.160464,74.817018
8.41,19.196911,74.892170
8.42,19.233357,74.967321
8.43,19.269804,75.042473
8.44,19.306250,75.117625
8.45,19.342696,75.192777
8.46,19.379143,75.267929
8.47,19.415589,75.343080
8.48,19.452036,75.418232
8.49,19.488482,75.493384
8.50,19.524929,75.568536
8.51,19.561375,75.643687
8.52,19.597821,75.718839
8.53,19.634268,75.793991
8.54,19.670714,75.869143
8.55,19.707161,75.944295
8.56,19.743607,76.019446
8.57,19.780054,76.094598
8.58,19.816500,76.169750
8.59,19.852946,76.244902
8.60,19.889393,76.320054
8.61,19.925839,76.395205
8.62,19.962286,76.470357
8.63,19.998732,76.545509
8.64,20.035179,76.620661
8.65,20.071625,76.695813
8.66,20.108071,76.770964
8.67,20.144518,76.846116
8.68,20.180964,76.921268
8.69,20.217411,76.996420
8.70,20.253857,77.071571
8.71,20.290304,77.146723
8.72,20.326750,77.221875
8.73,20.363196,77.297027
8.74,20.399643,77.372179
8.75,20.436089,77.447330
8.76,20.472536,77.522482
8.77,20.508982,77.597634
8.78,20.545429,77.672786
8.79,20.581875,77.747938
8.80,20.618321,77.823089
8.81,20.654768,77.898241
8.82,20.691214,77.973393
8.83,20.727661,78.048545
8.84,20.764107,78.123696
8.85,20.800554,78.198848
